0-9 y/o % of total pop,10-19 y/o % of total pop,20-29 y/o % of total pop,30-39 y/o % of total pop,40-49 y/o % of total pop,50-59 y/o % of total pop,80+ y/o % of total pop,% White-alone,Black-alone pop,% Black-alone,Native American/American Indian-alone pop,% NA/AI-alone,Asian-alone pop,% Asian-alone,Hawaiian/Pacific Islander-alone pop,% Hawaiian/PI-alone,% Two or more races,N_POP_CHG_2018,R_birth_2018,R_death_2018,R_NATURAL_INC_2018,R_INTERNATIONAL_MIG_2018,R_NET_MIG_2018,Percent of adults with less than a high school diploma 2014-18,Percent of adults with a high school diploma only 2014-18,Percent of adults completing some college or associate's degree 2014-18,Percent of adults with a bachelor's degree or higher 2014-18,PCTPOV517_2018,Unemployment_rate_2018,Median_Household_Income_2018,Med_HH_Income_Percent_of_State_Total_2018,Active Patient Care Primary Care Physicians per 100000 Population 2018 (AAMC),Active Patient Care General Surgeons per 100000 Population 2018 (AAMC),Percent of Population Aged 60+,COUNTY_NAME,STATE_NAME,CNTY_FIPS,anycondition_Upper 95% CI,Obesity_Upper 95% CI,Heart disease_Upper 95% CI,Heart disease_number,COPD_Upper 95% CI,CKD_Upper 95% CI,CKD_number,Urban_rural_code,COUNTY_NAME_N,STATE_NAME_N
12.44322631,13.95197076,12.40668233,11.21900287,10.8431219,13.7274863,4.079874706,27.74732446,26994,70.46202036,111,0.289741582,223,0.582093448,17,0.044374837,0.874445315,-925,11.9,13.7,-1.9,0.1,-22.0,19.3,35.2,30.4,15.1,45.3,6.5,34035,68.2,71.2,6.9,23.2,Dallas,Alabama,47,60.5,43.6,11.4,3103,12.7,5.1,1392,5,23,0
12.50823002,14.0211529,12.04734888,11.51362331,13.08958465,13.16382994,3.737479863,92.71415563,1325,1.856132241,1449,2.029838201,368,0.515514464,457,0.640190516,2.244168943,-19,11.4,11.3,0.1,0.5,-0.4,25.9,33.3,28.1,12.7,29.6,3.8,39491,79.2,71.2,6.9,22.2,DeKalb,Alabama,49,54.2,36.8,11.5,5694,14.2,4.2,2082,6,24,0
11.76621442,12.65035964,13.60777657,13.44169404,13.43680926,13.67982708,3.088402311,75.4698548,17570,21.45639723,425,0.519007901,581,0.709514331,95,0.116013531,1.729212207,471,11.0,10.0,1.0,0.3,4.8,13.6,32.8,29.0,24.5,15.8,3.4,60367,121.0,71.2,6.9,19.7,Elmore,Alabama,51,53.9,36.8,8.2,4793,9.7,3.2,1892,3,25,0
12.31631653,12.04691412,12.94492217,12.53401546,12.77620551,13.23337324,4.084576031,62.02242299,11639,31.67247197,1423,3.872319582,112,0.304778491,23,0.06258844,2.065418526,-251,11.8,13.2,-1.4,0.1,-5.5,18.5,44.5,24.4,12.7,31.5,4.6,38418,77.0,71.2,6.9,23.1,Escambia,Alabama,53,55.6,38.9,11.0,2914,12.7,4.3,1148,6,26,0
11.54720442,12.13939376,12.51499985,11.56281402,12.98231237,13.39108887,4.147276612,80.77579731,16094,15.70131023,624,0.608774549,852,0.831211403,318,0.310240876,1.772665633,-436,11.4,14.3,-2.9,0.2,-1.3,15.5,32.9,33.9,17.7,25.1,4.1,44903,90.0,71.2,6.9,24.4,Etowah,Alabama,55,56.0,38.5,10.3,7643,12.0,3.8,2878,4,27,0
11.4282237,11.82376924,11.96373152,10.81360677,12.13412037,13.60068156,4.789143796,85.65690988,1970,11.98807278,77,0.468569342,72,0.438142762,0,0.0,1.448305239,-41,10.1,13.7,-3.5,0.2,1.2,17.6,41.5,27.9,12.9,39.1,4.1,39254,78.7,71.2,6.9,27.6,Fayette,Alabama,57,51.9,36.4,11.4,1356,13.3,4.2,504,6,28,0
13.33418359,13.43940312,12.50199279,11.65067117,13.2034563,12.88460925,4.036603641,91.63026496,1427,4.54994739,485,1.546408188,107,0.341166343,78,0.248700698,1.683512419,-227,13.5,11.6,2.0,1.5,-9.2,23.2,36.8,27.1,12.9,28.8,3.7,39388,79.0,71.2,6.9,22.4,Franklin,Alabama,59,53.7,37.6,10.6,2285,12.8,3.9,862,6,29,0
11.32857034,12.67766208,10.86493882,11.22216311,12.3470396,13.78353728,4.757923539,87.21973094,2491,9.466443718,270,1.026069773,90,0.342023258,19,0.07220491,1.8735274,-96,10.3,13.5,-3.2,-0.2,-0.4,20.9,37.2,30.8,11.1,26.8,3.9,37823,75.8,71.2,6.9,25.3,Geneva,Alabama,61,58.0,44.7,12.0,2268,14.1,4.3,829,4,30,0
12.06121705,12.12194826,12.09765578,10.51864448,9.692700109,13.33657233,5.42936961,18.45013968,6597,80.12875015,27,0.3279485,22,0.267217296,0,0.0,0.82594437,-85,12.0,11.8,0.1,0.1,-10.3,24.1,36.8,29.0,10.1,42.5,6.7,28524,57.2,71.2,6.9,27.6,Greene,Alabama,63,64.2,47.3,13.5,802,14.9,6.2,369,6,31,0
12.82086106,12.67146544,12.79369822,11.02132283,10.8719272,13.73081624,4.787450767,40.66277333,8561,58.13527095,37,0.251256281,42,0.285209833,2,0.013581421,0.65190819,-83,12.6,14.0,-1.4,0.0,-4.1,16.4,42.6,26.9,14.1,34.0,5.1,34724,69.6,71.2,6.9,26.3,Hale,Alabama,65,59.5,47.1,11.3,1187,12.7,4.8,516,4,32,0
